ZIP,LAT,LNG
43451,41.318301,-83.6174935
43452,41.5157923,-82.9809454
43456,41.6468445,-82.8226641
43457,41.2673266,-83.4274645
43458,41.5304461,-83.2133648
43460,41.601192,-83.5649985
43462,41.283785,-83.7228646
43463,41.508665,-83.5080344
43464,41.4048795,-82.9241092
43465,41.5654721,-83.5003020
43466,41.2953588,-83.5148215
43467,41.2432028,-83.4838410
43468,41.5978668,-83.3414931
97824,45.3543012,-117.7564700
97825,44.3851264,-119.4962730
97826,45.6642964,-119.2323162
97827,45.5754239,-117.8380496
97828,45.7165633,-117.2219918
97830,44.9665611,-120.1831619
97833,44.9288884,-118.0148778
97834,44.9722752,-117.1611907
97835,45.9100468,-118.7865512
97836,45.3211522,-119.4746198
97837,44.5566606,-118.0671060
97838,45.853004,-119.2872655
97839,45.5912086,-119.5929843
97840,44.8560993,-116.9412302
97841,45.4651158,-117.9449249
97842,45.4235915,-116.6840285
97843,45.5023217,-119.9028655
97844,45.8841501,-119.5488363
97845,44.4018235,-118.9030596
97846,45.4626986,-117.0395863
97848,44.7221766,-119.5805545
97850,45.3035379,-118.1132779
97856,44.8152119,-119.1252546
97857,45.3592307,-117.5232469
97859,45.5267188,-118.4214554
97862,45.9220632,-118.3160627
97864,44.805447,-119.4360525
97865,44.4614657,-119.1800399
97867,45.0780372,-117.9934160
97868,45.409294,-118.8535816
97869,44.3975633,-118.6339795
97870,44.7879893,-117.1865631
97873,44.1320132,-119.0028841
97874,44.7775388,-119.8677075
97875,45.8185492,-119.1328535
97876,45.5164578,-118.0355249
97877,44.7117088,-118.4104284
97880,45.0886688,-118.8825062
97882,45.8974306,-119.3660707
97883,45.1924234,-117.6341548
94118,37.7800933,-122.4626054
94121,37.7767691,-122.4947073
94122,37.7587992,-122.4851269
94123,37.8009336,-122.4383664
94124,37.7288947,-122.3827787
94127,37.7362198,-122.4593380
94128,37.6264115,-122.3857566
94129,37.7973402,-122.4644664
94130,37.8206567,-122.3696475
94131,37.7459165,-122.4414731
94132,37.7222142,-122.4840831
39531,30.4039945,-88.9661326
42409,37.5386369,-87.6929336
42410,37.2785392,-87.5117711
48755,43.7915009,-83.2456200
42411,37.1982925,-88.0108129
42413,37.4486563,-87.4670006
48756,44.2337465,-83.9733794
48757,43.4698587,-83.6763108
39532,30.4930848,-88.9643175
39534,30.4077351,-88.9246855
48759,43.7304776,-83.3859038
39540,30.4431017,-88.8972376
48760,43.3230508,-83.2550060
48761,44.5109236,-83.8917098
48762,44.8216604,-83.4616203
39553,30.4107971,-88.6449967
42420,37.8106078,-87.5150036
39556,30.4415296,-89.4399718
48763,44.2550899,-83.6149014
48765,44.1515564,-83.7179524
48766,44.105722,-83.8393919
39560,30.3763526,-89.1727305
48767,43.650518,-83.4631542
39561,30.702516,-89.1548832
42431,37.3344734,-87.4813868
42436,37.3739497,-87.5755370
48768,43.3708306,-83.5775391
48770,44.2511832,-83.8141843
39562,30.5466824,-88.4894517
42437,37.6666566,-87.9380705
95825,38.5918967,-121.4084670
95826,38.5437535,-121.3776924
95827,38.5561199,-121.3242596
95828,38.4887898,-121.3958378
95829,38.489546,-121.3234520
95830,38.4905076,-121.2841712
95831,38.4939658,-121.5291880
95832,38.4470502,-121.4961141
95833,38.6190486,-121.5175516
33573,27.7228601,-82.3569228
37336,35.3088425,-84.9315118
33576,28.3357346,-82.3378312
37337,35.787056,-84.8506641
37338,35.4297867,-85.2095188
37339,35.3799587,-85.6342303
37340,35.0340631,-85.5175194
33578,27.8622004,-82.3500444
37341,35.2241762,-85.0732942
33579,27.7962306,-82.2936530
37342,35.3919677,-85.9479998
33584,28.0054554,-82.2943370
33585,28.7308721,-82.0860563
33592,28.1018705,-82.2832358
37343,35.1666685,-85.2122799
37345,35.0168069,-86.2030198
33594,27.9409344,-82.2424794
33596,27.8872147,-82.2258700
37347,35.0634681,-85.6134179
37348,35.1316145,-86.4340510
37350,34.9939205,-85.3501840
61820,40.1078904,-88.2442663
53406,42.734536,-87.8648925
53501,42.6062097,-89.0654992
53502,42.7304062,-89.4380687
53503,43.1429758,-89.9575065
61821,40.1096457,-88.2749032
53504,42.7035159,-89.8603490
53505,42.6610738,-88.8208971
